vhicle_class,vhicle_deta,year,make,model,engine,category,subcategory,application,product_type,part,comments
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-III Max,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-III Max 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-III Max 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-III SR,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-III SRMP Plus,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-III TC Max,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB-III Whisper,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SB210,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SD-I 1012,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SD-I 1013,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SKF,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SL-100,All,Na,Na,Na,Na,Na,Na
